Date,Day of Week,Visitor Team,Home Team,VisitorPts,HomePts,Day or Night,Attendance,Time of Game (minutes)
01/04/2021,Thu,Pittsburgh Pirates,Chicago Cubs,5,3,D,10343,240
01/04/2021,Thu,St. Louis Cardinals,Cincinnati Reds,11,6,D,12264,211
01/04/2021,Thu,Los Angeles Dodgers,Colorado Rockies,5,8,D,20570,226
01/04/2021,Thu,Tampa Bay Rays,Miami Marlins,1,0,D,7062,164
01/04/2021,Thu,Minnesota Twins,Milwaukee Brewers,5,6,D,11740,254
01/04/2021,Thu,Atlanta Braves,Philadelphia Phillies,2,3,D,8529,213
01/04/2021,Thu,Arizona D'Backs,San Diego Padres,7,8,D,10350,206
01/04/2021,Thu,Chicago White Sox,Los Angeles Angels,3,4,N,13207,171
01/04/2021,Thu,Cleveland Indians,Detroit Tigers,2,3,D,8000,183
01/04/2021,Thu,Texas Rangers,Kansas City Royals,10,14,D,9155,266
01/04/2021,Thu,Toronto Blue Jays,New York Yankees,3,2,D,10850,224
01/04/2021,Thu,Houston Astros,Oakland Athletics,8,1,N,10436,208
01/04/2021,Thu,San Francisco Giants,Seattle Mariners,7,8,N,8174,225
02/04/2021,Fri,Los Angeles Dodgers,Colorado Rockies,11,6,N,20363,199
02/04/2021,Fri,Tampa Bay Rays,Miami Marlins,6,4,N,6115,202
02/04/2021,Fri,Arizona D'Backs,San Diego Padres,2,4,N,10350,233
02/04/2021,Fri,Chicago White Sox,Los Angeles Angels,12,8,N,12763,224
02/04/2021,Fri,Baltimore Orioles,Boston Red Sox,3,0,D,4452,190
02/04/2021,Fri,Houston Astros,Oakland Athletics,9,5,N,5446,214
02/04/2021,Fri,San Francisco Giants,Seattle Mariners,6,3,N,8392,196
03/04/2021,Sat,Pittsburgh Pirates,Chicago Cubs,1,5,D,10343,188
03/04/2021,Sat,St. Louis Cardinals,Cincinnati Reds,6,9,D,12213,204
03/04/2021,Sat,Los Angeles Dodgers,Colorado Rockies,6,5,N,20688,215
03/04/2021,Sat,Tampa Bay Rays,Miami Marlins,7,12,N,6179,212
03/04/2021,Sat,Minnesota Twins,Milwaukee Brewers,2,0,N,11383,166
03/04/2021,Sat,Atlanta Braves,Philadelphia Phillies,0,4,D,8582,150
03/04/2021,Sat,Arizona D'Backs,San Diego Padres,0,7,N,10350,178
03/04/2021,Sat,Chicago White Sox,Los Angeles Angels,3,5,N,12043,184
03/04/2021,Sat,Baltimore Orioles,Boston Red Sox,4,2,D,4571,171
03/04/2021,Sat,Cleveland Indians,Detroit Tigers,2,5,D,8000,197
03/04/2021,Sat,Texas Rangers,Kansas City Royals,4,11,D,8889,173
03/04/2021,Sat,Toronto Blue Jays,New York Yankees,3,5,D,10107,218
03/04/2021,Sat,Houston Astros,Oakland Athletics,9,1,D,5803,204
03/04/2021,Sat,San Francisco Giants,Seattle Mariners,0,4,N,8651,179
04/04/2021,Sun,Pittsburgh Pirates,Chicago Cubs,3,4,D,10343,189
04/04/2021,Sun,St. Louis Cardinals,Cincinnati Reds,1,12,D,11629,180
04/04/2021,Sun,Los Angeles Dodgers,Colorado Rockies,4,2,D,20368,171
04/04/2021,Sun,Minnesota Twins,Milwaukee Brewers,8,2,D,10666,209
04/04/2021,Sun,Atlanta Braves,Philadelphia Phillies,1,2,D,10773,160
04/04/2021,Sun,Arizona D'Backs,San Diego Padres,3,1,D,10350,199
04/04/2021,Sun,Chicago White Sox,Los Angeles Angels,4,7,N,12396,236
04/04/2021,Sun,Baltimore Orioles,Boston Red Sox,11,3,D,4458,208
04/04/2021,Sun,Cleveland Indians,Detroit Tigers,9,3,D,8000,158
04/04/2021,Sun,Texas Rangers,Kansas City Royals,7,3,D,8869,173
04/04/2021,Sun,Toronto Blue Jays,New York Yankees,3,1,D,10066,161
04/04/2021,Sun,Houston Astros,Oakland Athletics,9,2,D,4504,195
05/04/2021,Mon,Milwaukee Brewers,Chicago Cubs,3,5,N,10343,169
05/04/2021,Mon,Pittsburgh Pirates,Cincinnati Reds,3,5,N,9097,198
05/04/2021,Mon,St. Louis Cardinals,Miami Marlins,4,1,N,4605,189
05/04/2021,Mon,New York Mets,Philadelphia Phillies,3,5,N,10782,195
05/04/2021,Mon,San Francisco Giants,San Diego Padres,3,2,N,10350,215
05/04/2021,Mon,Houston Astros,Los Angeles Angels,6,7,N,13447,241
05/04/2021,Mon,Tampa Bay Rays,Boston Red Sox,2,11,N,4577,206
05/04/2021,Mon,Kansas City Royals,Cleveland Indians,3,0,D,8914,172
05/04/2021,Mon,Minnesota Twins,Detroit Tigers,15,6,D,7232,212
05/04/2021,Mon,Baltimore Orioles,New York Yankees,0,7,N,9008,178
05/04/2021,Mon,Los Angeles Dodgers,Oakland Athletics,10,3,N,6653,215
05/04/2021,Mon,Chicago White Sox,Seattle Mariners,6,0,N,6436,203
05/04/2021,Mon,Toronto Blue Jays,Texas Rangers,6,2,D,38238,184
06/04/2021,Tue,Milwaukee Brewers,Chicago Cubs,4,0,N,10343,186
06/04/2021,Tue,Pittsburgh Pirates,Cincinnati Reds,1,14,N,11093,155
06/04/2021,Tue,Arizona D'Backs,Colorado Rockies,10,8,N,10240,269
06/04/2021,Tue,St. Louis Cardinals,Miami Marlins,4,2,N,4982,223
06/04/2021,Tue,New York Mets,Philadelphia Phillies,8,4,N,10752,220
06/04/2021,Tue,San Francisco Giants,San Diego Padres,1,3,N,10350,173
06/04/2021,Tue,Atlanta Braves,Washington Nationals,5,6,D,4801,190
06/04/2021,Tue,Houston Astros,Los Angeles Angels,4,2,D,11122,167
06/04/2021,Tue,Tampa Bay Rays,Boston Red Sox,5,6,N,4682,265
06/04/2021,Tue,Minnesota Twins,Detroit Tigers,3,4,D,7306,240
06/04/2021,Tue,Baltimore Orioles,New York Yankees,2,7,N,9404,178
06/04/2021,Tue,Los Angeles Dodgers,Oakland Athletics,5,1,N,7672,165
06/04/2021,Tue,Chicago White Sox,Seattle Mariners,10,4,N,7980,225
