Date,Visitor,G,Home,G,,Att.,LOG,Notes
12/10/2021,Pittsburgh Penguins,6,Tampa Bay Lightning,2,,19092,02:33,
12/10/2021,Seattle Kraken,3,Vegas Golden Knights,4,,18431,02:25,
13/10/2021,Winnipeg Jets,1,Anaheim Ducks,4,,16260,02:29,
13/10/2021,Chicago Blackhawks,2,Colorado Avalanche,4,,18037,02:32,
13/10/2021,Vancouver Canucks,2,Edmonton Oilers,3,SO,16034,02:42,
13/10/2021,Montreal Canadiens,1,Toronto Maple Leafs,2,,18493,02:33,
13/10/2021,New York Rangers,1,Washington Capitals,5,,18573,02:29,
14/10/2021,Montreal Canadiens,1,Buffalo Sabres,5,,8467,02:26,
14/10/2021,New York Islanders,3,Carolina Hurricanes,6,,18680,02:46,
14/10/2021,Arizona Coyotes,2,Columbus Blue Jackets,8,,17813,02:30,
14/10/2021,Tampa Bay Lightning,7,Detroit Red Wings,6,OT,19515,02:50,
14/10/2021,Pittsburgh Penguins,4,Florida Panthers,5,OT,14308,02:40,
14/10/2021,Vegas Golden Knights,2,Los Angeles Kings,6,,16589,02:32,
14/10/2021,Seattle Kraken,4,Nashville Predators,3,,17159,02:36,
14/10/2021,Dallas Stars,3,New York Rangers,2,OT,17173,02:32,
14/10/2021,Toronto Maple Leafs,2,Ottawa Senators,3,,15159,02:26,
15/10/2021,Minnesota Wild,2,Anaheim Ducks,1,,11938,02:37,
15/10/2021,Chicago Blackhawks,3,New Jersey Devils,4,OT,16514,02:28,
15/10/2021,Vancouver Canucks,5,Philadelphia Flyers,4,SO,19338,02:42,
16/10/2021,Dallas Stars,1,Boston Bruins,3,,17850,02:36,
16/10/2021,Arizona Coyotes,1,Buffalo Sabres,2,SO,7872,02:28,
16/10/2021,Seattle Kraken,1,Columbus Blue Jackets,2,OT,17593,02:25,
16/10/2021,St. Louis Blues,5,Colorado Avalanche,3,,18022,02:32,
16/10/2021,Vancouver Canucks,1,Detroit Red Wings,3,,16274,02:36,
16/10/2021,Calgary Flames,2,Edmonton Oilers,5,,17745,02:36,
16/10/2021,New York Islanders,1,Florida Panthers,5,,12936,02:34,
16/10/2021,Minnesota Wild,3,Los Angeles Kings,2,,12590,02:26,
16/10/2021,New York Rangers,3,Montreal Canadiens,1,,21105,02:30,
16/10/2021,Carolina Hurricanes,3,Nashville Predators,2,,17162,02:35,
16/10/2021,Chicago Blackhawks,2,Pittsburgh Penguins,5,,18420,02:15,
16/10/2021,Winnipeg Jets,3,San Jose Sharks,4,,16137,02:25,
16/10/2021,Ottawa Senators,1,Toronto Maple Leafs,3,,18211,02:29,
16/10/2021,Tampa Bay Lightning,2,Washington Capitals,1,OT,18573,02:43,
17/10/2021,Dallas Stars,2,Ottawa Senators,3,,8067,02:27,
18/10/2021,St. Louis Blues,7,Arizona Coyotes,4,,15235,02:27,
18/10/2021,Anaheim Ducks,3,Calgary Flames,2,OT,15174,02:26,
18/10/2021,Seattle Kraken,1,Philadelphia Flyers,6,,17727,02:30,
18/10/2021,New York Rangers,2,Toronto Maple Leafs,1,OT,18098,02:28,
19/10/2021,Vancouver Canucks,2,Buffalo Sabres,5,,7376,02:17,
19/10/2021,New York Islanders,4,Chicago Blackhawks,1,,20279,02:26,
19/10/2021,Columbus Blue Jackets,1,Detroit Red Wings,4,,14165,02:28,
19/10/2021,Anaheim Ducks,5,Edmonton Oilers,6,,14082,02:33,
19/10/2021,Winnipeg Jets,5,Minnesota Wild,6,OT,18156,02:51,
19/10/2021,San Jose Sharks,5,Montreal Canadiens,0,,16095,02:19,
19/10/2021,Seattle Kraken,2,New Jersey Devils,4,,13806,02:44,
19/10/2021,Los Angeles Kings,1,Nashville Predators,2,,17159,02:26,
19/10/2021,Dallas Stars,2,Pittsburgh Penguins,1,SO,16450,02:28,
19/10/2021,Florida Panthers,4,Tampa Bay Lightning,1,,19092,02:29,
19/10/2021,Colorado Avalanche,3,Washington Capitals,6,,18573,02:32,
20/10/2021,Boston Bruins,3,Philadelphia Flyers,6,,15310,02:26,
20/10/2021,St. Louis Blues,3,Vegas Golden Knights,1,,17690,02:26,
21/10/2021,Edmonton Oilers,5,Arizona Coyotes,1,,9748,02:25,
21/10/2021,New York Islanders,2,Columbus Blue Jackets,3,OT,12937,02:20,
21/10/2021,Vancouver Canucks,4,Chicago Blackhawks,1,,20490,02:27,
21/10/2021,Calgary Flames,3,Detroit Red Wings,0,,14241,02:17,
21/10/2021,Colorado Avalanche,1,Florida Panthers,4,,11245,02:34,
21/10/2021,Carolina Hurricanes,4,Montreal Canadiens,1,,19174,02:29,
21/10/2021,Washington Capitals,4,New Jersey Devils,1,,12377,02:21,
21/10/2021,New York Rangers,3,Nashville Predators,1,,17159,02:41,
21/10/2021,San Jose Sharks,2,Ottawa Senators,1,,8994,02:28,
21/10/2021,Anaheim Ducks,1,Winnipeg Jets,5,,13886,02:20,
22/10/2021,Boston Bruins,4,Buffalo Sabres,1,,7820,02:16,
22/10/2021,Los Angeles Kings,2,Dallas Stars,3,OT,18532,02:27,
22/10/2021,San Jose Sharks,5,Toronto Maple Leafs,3,,18603,02:27,
22/10/2021,Edmonton Oilers,5,Vegas Golden Knights,3,,17978,02:33,
23/10/2021,New York Islanders,3,Arizona Coyotes,0,,11690,02:26,
23/10/2021,Carolina Hurricanes,5,Columbus Blue Jackets,1,,14386,02:22,
23/10/2021,Anaheim Ducks,3,Minnesota Wild,4,OT,18055,02:41,
23/10/2021,Detroit Red Wings,1,Montreal Canadiens,6,,19706,02:21,
23/10/2021,Buffalo Sabres,1,New Jersey Devils,2,OT,13158,02:29,
23/10/2021,New York Rangers,3,Ottawa Senators,2,,11167,02:26,
23/10/2021,Florida Panthers,4,Philadelphia Flyers,2,,16936,02:31,
23/10/2021,Toronto Maple Leafs,1,Pittsburgh Penguins,7,,15397,02:29,
23/10/2021,Vancouver Canucks,4,Seattle Kraken,2,,17151,02:32,
23/10/2021,Los Angeles Kings,3,St. Louis Blues,7,,18096,02:30,
23/10/2021,Colorado Avalanche,4,Tampa Bay Lightning,3,SO,19092,03:04,
23/10/2021,Nashville Predators,4,Winnipeg Jets,6,,14020,02:34,
23/10/2021,Calgary Flames,4,Washington Capitals,3,OT,18573,02:31,
24/10/2021,San Jose Sharks,3,Boston Bruins,4,,17850,02:32,
24/10/2021,Detroit Red Wings,6,Chicago Blackhawks,3,,19042,02:34,
24/10/2021,Nashville Predators,5,Minnesota Wild,2,,16014,02:38,
24/10/2021,New York Islanders,2,Vegas Golden Knights,0,,17699,02:24,
25/10/2021,Tampa Bay Lightning,1,Buffalo Sabres,5,,7417,02:25,
25/10/2021,Toronto Maple Leafs,1,Carolina Hurricanes,4,,14011,02:25,
25/10/2021,Dallas Stars,1,Columbus Blue Jackets,4,,12629,02:24,
25/10/2021,Arizona Coyotes,3,Florida Panthers,5,,13943,02:27,
25/10/2021,Calgary Flames,5,New York Rangers,1,,13590,02:23,
25/10/2021,Washington Capitals,7,Ottawa Senators,5,,11387,02:42,
25/10/2021,Los Angeles Kings,0,St. Louis Blues,3,,16655,02:26,
26/10/2021,Winnipeg Jets,4,Anaheim Ducks,3,,11951,02:24,
26/10/2021,Vegas Golden Knights,3,Colorado Avalanche,1,,17724,02:32,
26/10/2021,Calgary Flames,5,New Jersey Devils,3,,10631,02:33,
26/10/2021,San Jose Sharks,1,Nashville Predators,3,,16395,02:27,
26/10/2021,Tampa Bay Lightning,5,Pittsburgh Penguins,1,,15732,02:28,
26/10/2021,Montreal Canadiens,1,Seattle Kraken,5,,17151,02:20,
26/10/2021,Minnesota Wild,3,Vancouver Canucks,2,,18870,02:28,
27/10/2021,Toronto Maple Leafs,3,Chicago Blackhawks,2,OT,18616,02:29,
27/10/2021,Vegas Golden Knights,3,Dallas Stars,2,OT,18114,02:27,
27/10/2021,Philadelphia Flyers,5,Edmonton Oilers,3,,14328,02:24,
27/10/2021,Boston Bruins,1,Florida Panthers,4,,12306,02:26,
27/10/2021,Detroit Red Wings,3,Washington Capitals,2,OT,18573,02:24,
28/10/2021,Buffalo Sabres,4,Anaheim Ducks,3,OT,12014,02:25,
28/10/2021,Boston Bruins,0,Carolina Hurricanes,3,,16093,02:31,
28/10/2021,Winnipeg Jets,3,Los Angeles Kings,2,,11207,02:16,
28/10/2021,Calgary Flames,4,Pittsburgh Penguins,0,,17743,02:23,
28/10/2021,Minnesota Wild,1,Seattle Kraken,4,,17151,02:29,
28/10/2021,Montreal Canadiens,4,San Jose Sharks,0,,11463,02:23,
28/10/2021,Colorado Avalanche,4,St. Louis Blues,3,,16558,02:43,
28/10/2021,Arizona Coyotes,1,Tampa Bay Lightning,5,,19092,02:35,
28/10/2021,Philadelphia Flyers,2,Vancouver Canucks,1,,18344,02:19,
29/10/2021,Chicago Blackhawks,3,Carolina Hurricanes,6,,16434,02:30,
29/10/2021,Ottawa Senators,4,Dallas Stars,1,,17346,02:28,
29/10/2021,Florida Panthers,3,Detroit Red Wings,2,OT,15593,02:28,
29/10/2021,Columbus Blue Jackets,0,New York Rangers,4,,14532,02:24,
29/10/2021,Anaheim Ducks,4,Vegas Golden Knights,5,SO,18029,02:45,
