,,,Place,,Conference,,Division,,,,,,All-Star,,Margin,,Month,,,,,
Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,≤3,≥10,Dec,Jan,Feb,Mar,Apr,May
1,Utah Jazz,52-20,31-May,21-15,24-Jun,28-14,07-Mar,10-0,07-Mar,07-May,08-Jul,13-Feb,27-Sep,25-Nov,03-Feb,39-7,02-Feb,13-Mar,12-Feb,09-Apr,09-Jul,07-Feb
2,Phoenix Suns,51-21,27-Sep,24-Dec,21-Sep,30-Dec,07-Mar,08-Feb,06-Apr,11-Apr,07-May,12-Mar,24-Nov,27-Oct,09-Mar,23-Aug,04-Jan,06-Jul,12-Mar,11-Mar,12-Apr,06-Mar
3,Philadelphia 76ers,49-23,29-Jul,20-16,31-11,18-Dec,10-Feb,08-Jul,13-Feb,05-May,06-Apr,07-Mar,24-Dec,25-Nov,07-Mar,27-Dec,04-Jan,11-May,07-Jun,10-Mar,10-Jun,07-Feb
4,Brooklyn Nets,48-24,28-Aug,20-16,26-16,22-Aug,08-Apr,09-Jun,09-Jun,07-Mar,09-Jan,06-Apr,24-13,24-Nov,03-May,24-Nov,03-Feb,10-Jul,09-Apr,11-Feb,10-Jun,05-Mar
5,Denver Nuggets,47-25,25-Nov,22-14,21-Sep,26-16,05-May,09-Jan,07-Mar,09-Mar,06-Sep,11-Apr,21-15,26-Oct,06-Apr,29-Nov,01-Mar,11-May,06-Jul,11-Mar,13-Mar,05-Apr
6,Los Angeles Clippers,47-25,26-Oct,21-15,20-Oct,27-15,04-Jun,09-Jan,07-Mar,10-May,09-Mar,08-Jul,24-14,23-Nov,03-Apr,31-Jul,04-Jan,12-Apr,08-Jul,08-May,11-Apr,04-Apr
7,Milwaukee Bucks,46-26,26-Oct,20-16,30-Dec,16-14,08-Jul,11-Jan,11-Apr,06-Apr,05-May,05-May,22-14,24-Dec,06-May,29-Dec,02-Mar,09-May,10-May,09-Apr,09-Jul,07-Feb
8,Dallas Mavericks,42-30,21-15,21-15,21-Sep,21-21,06-Apr,06-Apr,09-Jan,08-Jul,06-Sep,07-May,18-16,24-14,05-Apr,26-17,01-Mar,07-Sep,08-Apr,09-May,10-Jun,07-Mar
9,Los Angeles Lakers,42-30,21-15,21-15,17-13,25-17,04-Jun,08-Feb,05-May,10-May,04-Aug,11-Apr,24-13,18-17,07-May,22-13,03-Feb,12-Apr,09-May,06-Jul,06-Sep,06-Mar
