Rk,Team,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,MET,CEN,PAC,≤1,≥3,Oct,Nov,Dec,Jan,Feb,Mar
1,Boston Bruins,44-14-12,0-7,06-May,22/04/2009,22/10/2003,26/09/2009,18/05/2003,14/06/2003,12/03/2006,09/02/2002,09/03/2001,18/04/2012,16/06/2000,09/01/2002,09/02/2003,06/04/2005,06/03/2002,11/03/2000,03/01/2000
2,St. Louis Blues,42-19-10,02-Mar,07-Jul,23/07/2005,19/12/2005,13/08/2004,29/11/2006,06/06/2000,07/02/2004,15/07/2002,14/04/2004,18/03/2010,16/09/2000,07/03/2003,10/02/2003,09/04/2000,05/04/2002,08/04/2002,03/02/2000
3,Tampa Bay Lightning,43-21-6,02-Jan,06-May,22/10/2002,21/11/2004,28/12/2003,15/09/2003,18/05/2001,10/07/2002,04/07/2003,11/02/2000,18/09/2006,12/07/2000,06/04/2002,06/05/2001,09/04/2001,10/02/2001,10/04/2000,02/02/2001
4,Colorado Avalanche,42-20-8,01-Jan,04-Jul,18/09/2006,24/11/2002,21/06/2004,21-14-4,12/01/2002,09/05/2002,10/08/2002,11/06/2002,15/04/2008,18/08/2000,08/02/2002,08/06/2000,07/05/2002,05/02/2002,11/03/2001,03/02/2001
5,Washington Capitals,41-20-8,04-Mar,06-May,18/10/2005,23/10/2003,25-14-4,16/06/2004,14/02/2002,11/12/2002,06/04/2001,10/02/2003,18/07/2008,12/10/2000,09/02/2003,10/02/2002,08/05/2000,08/03/2000,04/07/2001,02/01/2002
6,Philadelphia Flyers,41-21-7,05-May,05-Feb,25/06/2004,16-15-3,30/10/2005,11/11/2002,14/06/2001,16/04/2004,05/04/2000,06/07/2002,15/03/2007,21/10/2000,05/05/2001,10/02/2004,07/06/2000,05/04/2002,10/03/2000,04/01/2000
7,Pittsburgh Penguins,40-23-6,3-0,08-Jun,23/08/2004,17-15-2,20-16-4,20/07/2002,12/10/2001,08/06/2003,11/02/2000,09/05/2002,16/04/2006,18-14-0,08/05/2000,06/04/2004,10/02/2000,08/03/2001,05/07/2001,03/02/2000
8,Vegas Golden Knights,39-24-8,03-Feb,06-Jun,22/11/2004,17-13-4,16/10/2005,23-14-3,07/05/2003,09/05/2002,08/08/2001,15/06/2002,16/06/2008,16/12/2000,08/05/2001,05/06/2003,09/04/2002,04/05/2001,10/02/2001,03/02/2000
9,Edmonton Oilers,37-25-9,02-Feb,04-Jul,17/11/2006,20-14-3,17/07/2003,20-18-6,06/05/2003,11/02/2000,09/09/2002,11/09/2004,15/04/2009,14-15-0,09/04/2001,07/05/2002,05/08/2001,06/01/2002,07/05/2002,03/02/2001
10,Dallas Stars,37-24-8,02-Mar,09-May,19/12/2003,18/12/2005,15/12/2002,22/12/2006,07/07/2001,08/05/2001,12/09/2003,10/03/2003,18/09/2008,10/10/2000,05/08/2001,10/02/2001,07/04/2002,06/04/2000,09/03/2003,0-3-1
11,Carolina Hurricanes,38-25-5,5-0,06-May,19/12/2002,19-13-3,20-17-2,18/08/2003,12/05/2001,08/12/2001,08/05/2000,10/03/2003,13/06/2005,16/09/2000,08/03/2001,08/07/2000,08/04/2001,05/05/2001,06/05/2002,03/01/2000
12,Toronto Maple Leafs,36-25-9,01-May,07-Apr,18/09/2007,18-16-2,20-15-6,16/10/2003,12/08/2002,08/07/2004,07/05/2001,09/05/2002,10/06/2009,15/10/2000,06/05/2003,07/06/2001,09/03/2001,05/03/2002,08/06/2001,01/02/2001
13,Columbus Blue Jackets,33-22-15,0-4,08-Nov,20/12/2004,13/10/2011,23/09/2010,10-13-5,13/02/2005,10/07/2005,03/05/2004,07/08/2001,20/08/2015,09/09/2000,05/05/2002,06/06/2002,07/03/2004,09/02/2000,04/05/2006,02/01/2001
14,Winnipeg Jets,37-28-6,03-Feb,04-Apr,20-14-3,17-14-3,13-16-2,24/12/2004,08/07/2000,05/09/2002,11/06/2004,13/06/2000,15/09/2006,18-14-0,06/07/2000,10/03/2001,06/05/2002,03/08/2001,08/05/2002,4-0-0
15,New York Islanders,35-23-10,03-Mar,08-Jul,20/09/2006,15-14-4,25-13-5,10/10/2005,14/06/2001,11/07/2004,06/05/2001,04/05/2004,16/07/2010,08/11/2000,08/03/2000,09/02/2002,08/05/2001,04/05/2002,06/06/2003,0-2-2
16,New York Rangers,37-28-5,01-Feb,05-Mar,18-16-2,19/12/2003,24-17-2,13/11/2003,10/09/2002,14/08/2000,08/04/2001,05/07/2002,13/07/2005,16-13-0,04/05/2001,09/04/2002,06/07/2001,05/05/2000,11/04/2000,02/03/2001
17,Calgary Flames,36-27-7,06-Jan,05-Jun,16-13-4,20-14-3,16/09/2002,20-18-5,10/04/2001,06/05/2001,07/08/2004,13/10/2001,19/05/2007,12/12/2000,07/06/2002,06/06/2002,07/05/2001,07/02/2001,06/07/2001,03/01/2000
18,Vancouver Canucks,36-27-6,04-Mar,05-Mar,22/09/2004,14-18-2,16-13-2,20-14-4,08/07/2000,08/06/2002,09/06/2003,11/08/2001,12/06/2006,18-13-0,08/03/2001,05/07/2003,08/05/2000,08/03/2000,05/06/2002,02/03/2000
19,Florida Panthers,35-26-8,03-Apr,02-Apr,17-14-4,18/12/2004,20-17-5,15/09/2003,11/08/2002,09/09/2003,07/02/2002,08/07/2001,14/07/2008,15-13-0,06/03/2004,07/05/2001,07/06/2000,08/02/2000,05/09/2002,02/01/2001
20,Nashville Predators,35-26-8,03-Mar,04-May,17-14-4,18/12/2004,15/09/2003,20-17-5,06/05/2003,09/04/2000,12/07/2001,08/10/2004,17/05/2008,13-14-0,08/03/2002,04/07/2002,06/04/2002,06/05/2001,08/05/2001,03/02/2000
21,Minnesota Wild,35-27-7,02-Mar,03-Apr,19/11/2005,16-16-2,13/10/2004,22-17-3,09/05/2001,04/05/2003,08/10/2001,14/07/2002,16/07/2007,11-14-0,04/09/2000,07/02/2004,08/06/2001,04/04/2001,09/04/2001,03/02/2000
22,Arizona Coyotes,33-29-8,05-Apr,02-Apr,17/12/2004,16-17-4,15-13-2,18-16-6,07/07/2001,08/06/2001,07/08/2002,11/08/2004,11/12/2008,14/07/2000,07/04/2001,08/05/2003,07/07/2000,04/05/2002,06/06/2002,01/02/2000
23,Chicago Blackhawks,32-30-8,04-Apr,05-Apr,16-14-4,16-16-4,13/10/2002,19-20-6,09/03/2001,04/07/2001,07/12/2003,12/08/2003,11/09/2008,14-14-0,03/06/2002,07/05/2003,08/06/2001,06/04/2000,05/07/2002,03/02/2000
24,Montreal Canadiens,31-31-9,04-Jan,08-Aug,14-17-6,17-14-3,19-21-7,12/10/2002,9-13-2,10/08/2005,04/06/2001,08/04/2001,15-13-9,12/09/2000,07/04/2002,04/05/2004,07/07/2000,05/06/2001,07/06/2002,01/03/2000
25,Buffalo Sabres,30-31-8,02-Feb,06-Jun,20/11/2004,10-20-4,18-18-5,12-13-3,10/12/2002,08/06/2003,05/07/2000,07/06/2003,15/08/2008,10-14-0,09/02/2002,03/08/2003,05/07/2002,05/05/2000,07/06/2001,01/03/2000
26,New Jersey Devils,28-29-12,04-Jun,02-Jun,13/11/2010,15-18-2,18-18-5,10/11/2007,09/08/2003,09/10/2002,03/06/2004,07/05/2003,13/02/2012,9-20-0,02/05/2003,07/07/2001,05/07/2002,04/05/2002,07/03/2004,03/02/2000
27,Anaheim Ducks,29-33-9,05-Jan,04-Aug,16-15-5,13-18-4,13/12/2005,16-21-4,06/04/2004,07/08/2001,07/11/2002,09/10/2002,15/09/2009,7-15-0,08/06/2000,03/06/2004,05/07/2001,04/07/2000,06/04/2003,03/03/2001
