Rk,Team,Overall,Shootout,Overtime,Home,Road,CEN,EAS,NTH,WES,≤1,≥3,Jan,Feb,Mar,Apr,May
1,Vegas Golden Knights,40-14-2,01-Feb,9-0,21/05/2002,19/09/2000,,,,40-14-2,17/07/2002,19/03/2000,05/01/2001,07/03/2000,12/05/2000,11/03/2001,05/02/2000
2,Colorado Avalanche,39-13-4,0-1,04-Mar,22/04/2002,17/09/2002,,,,39-13-4,17/03/2004,18/07/2000,06/03/2001,05/03/2000,12/02/2003,09/04/2000,07/01/2000
3,Carolina Hurricanes,36-12-8,04-Feb,05-Jun,20/03/2005,16/09/2003,36-12-8,,,,14/03/2008,14/02/2000,05/01/2000,08/05/2001,10/02/2002,10/02/2004,03/02/2001
4,Florida Panthers,37-14-5,01-Feb,10-Mar,20/05/2003,17/09/2002,37-14-5,,,,17/03/2005,13/08/2000,5-0-1,08/04/2002,10/05/2001,10/05/2001,4-0-0
5,Pittsburgh Penguins,37-16-3,03-Jan,05-Feb,22/04/2002,15/12/2001,,37-16-3,,,16/04/2003,17/06/2000,05/03/2001,06/05/2000,12/03/2001,10/04/2001,04/01/2000
6,Washington Capitals,36-15-5,03-Feb,04-Mar,17/08/2003,19/07/2002,,36-15-5,,,19/01/2005,10/09/2000,6-0-3,06/05/2001,11/03/2000,09/05/2001,04/02/2000
7,Toronto Maple Leafs,35-14-7,1-0,05-Jul,18/07/2003,17/07/2004,,,35-14-7,,14/04/2007,11/04/2000,07/02/2001,09/02/2001,07/06/2001,09/03/2002,03/01/2002
8,Tampa Bay Lightning,36-17-3,01-Feb,06-Jan,21/07/2000,15/10/2003,36-17-3,,,,12/02/2003,16/10/2000,04/01/2001,10/03/2000,10/05/2001,10/05/2000,02/03/2001
9,Minnesota Wild,35-16-5,01-Jan,07-Apr,21/05/2002,14/11/2003,,,,35-16-5,15/05/2005,14/09/2000,06/04/2000,06/02/2000,09/05/2002,10/03/2002,04/02/2001
10,Boston Bruins,33-16-7,04-Feb,04-May,18/07/2003,15/09/2004,,33-16-7,,,12/08/2007,15/06/2000,05/01/2002,07/04/2000,06/04/2003,11/05/2001,04/02/2001
11,Edmonton Oilers,35-19-2,0-0,04-Feb,16/12/2000,19/07/2002,,,35-19-2,,14/05/2002,13/08/2000,05/06/2000,09/03/2000,08/05/2001,07/03/2001,06/02/2000
12,New York Islanders,32-17-7,04-Mar,04-Apr,21/04/2003,11-13-4,,32-17-7,,,14/06/2007,13/08/2000,03/04/2002,08/02/2002,11/04/2000,08/05/2001,02/02/2002
13,Nashville Predators,31-23-2,5-0,05-Feb,18/10/2000,13-13-2,31-23-2,,,,14/04/2002,9-13-0,04/04/2000,06/07/2000,09/06/2001,08/05/2001,04/01/2000
14,Winnipeg Jets,30-23-3,0-2,06-Jan,13-13-2,17/10/2001,,,30-23-3,,12/06/2003,14/06/2000,05/03/2000,08/03/2001,09/07/2001,05/07/2001,03/03/2000
15,St. Louis Blues,27-20-9,02-Mar,06-Jun,12/11/2005,15/09/2004,,,,27-20-9,14/08/2009,09/09/2000,06/02/2001,05/06/2001,05/05/2004,07/06/2000,04/01/2003
16,New York Rangers,27-23-6,01-Feb,02-Apr,14/11/2003,13/12/2003,,27-23-6,,,05/09/2006,16/11/2000,02/04/2002,05/05/2001,09/06/2001,10/04/2002,01/04/2000
17,Dallas Stars,23-19-14,02-Jun,04-Aug,13/07/2008,10/12/2006,23-19-14,,,,09/06/2014,14/07/2000,04/01/2001,02/05/2003,05/06/2006,10/05/2002,02/02/2002
18,Montreal Canadiens,24-21-11,01-Mar,03-Aug,13/11/2004,11/10/2007,,,24-21-11,,09/04/2011,08/11/2000,05/01/2002,04/05/2003,06/02/2004,07/10/2000,02/03/2002
19,Philadelphia Flyers,25-23-8,03-Apr,05-Apr,12/12/2004,13/11/2004,,25-23-8,,,14/04/2008,7-13-0,07/02/2001,04/02/2002,06/10/2001,05/07/2003,03/02/2001
20,Calgary Flames,26-27-3,01-Jan,03-Feb,15/12/2001,11-15-2,,,26-27-3,,08/10/2003,11/09/2000,03/03/2001,07/07/2001,06/08/2001,06/06/2000,04/03/2000
21,Chicago Blackhawks,24-25-7,02-Feb,07-May,13/11/2004,11-14-3,24-25-7,,,,12/05/2007,5-14-0,03/04/2003,09/03/2001,05/08/2001,05/07/2001,02/03/2001
22,Arizona Coyotes,24-26-6,03-Feb,02-Apr,12/12/2004,12-14-2,,,,24-26-6,12/07/2006,9-13-0,03/04/2001,06/05/2002,07/06/2002,06/09/2000,02/02/2001
23,Ottawa Senators,23-28-5,02-Jan,03-Apr,14/10/2004,9-18-1,,,23-28-5,,11/08/2005,7-14-0,01/07/2001,06/08/2000,05/05/2003,07/07/2000,04/01/2001
24,Vancouver Canucks,23-29-4,03-Jan,03-Mar,13/12/2003,10-17-1,,,23-29-4,,07/03/2004,9-21-0,06/05/2000,02/09/2002,08/04/2001,03/04/2000,04/07/2001
25,Los Angeles Kings,21-28-7,01-Jan,01-Jun,9-14-5,12-14-2,,,,21-28-7,07/08/2007,08/11/2000,03/03/2002,06/04/2002,05/07/2002,05/09/2000,02/05/2001
26,San Jose Sharks,21-28-7,05-Mar,01-Apr,11-13-4,10-15-3,,,,21-28-7,11/06/2007,4-19-0,03/05/2000,04/04/2002,08/07/2002,05/09/2001,01/03/2002
27,Detroit Red Wings,19-27-10,02-Mar,01-Jul,12/11/2005,7-16-5,19-27-10,,,,05/07/2010,7-15-0,02/06/2002,05/08/2001,05/07/2001,05/05/2005,02/01/2001
28,Columbus Blue Jackets,18-26-12,03-Mar,03-Sep,11/09/2008,7-17-4,18-26-12,,,,12/04/2012,03/12/2000,04/03/2003,04/07/2002,06/05/2003,02/10/2002,02/01/2002
29,New Jersey Devils,19-30-7,0-5,04-Feb,7-18-3,12/12/2004,,19-30-7,,,12/08/2007,3-13-0,04/03/2002,03/05/2000,06/08/2003,03/11/2002,03/03/2000
30,Anaheim Ducks,17-30-9,02-Feb,04-Jul,6-18-4,11/12/2005,,,,17-30-9,10/10/2009,5-15-0,03/05/2002,03/05/2003,05/10/2001,04/09/2001,02/01/2002
31,Buffalo Sabres,15-34-7,04-Mar,0-4,8-16-4,7-18-3,,15-34-7,,,06/08/2007,4-19-0,04/04/2002,02/06/2001,1-13-2,06/08/2002,02/03/2000
32,Seattle Kraken,,,,,,,,,,,,,,,,
